lesson_id;day_number;lesson_number;lesson_week;lesson_name;teacher_name;lesson_type;lesson_class;time_start;time_end;online;choice
1;1;1;1;Психологія наукової і технічної творчості;доц. Плющ О. М.;Лек;114-12 ;08:30:00;10:05:00;true;true
2;1;1;1;Економічна психологія;вик. Уманец А. О.;Прак;323-12;08:30:00;10:05:00;true;true
3;1;3;1;Політична наука: конфліктологічний підхід;доц. Багінський А. В.;Лек;301-18;12:20:00;13:55:00;true;true
4;1;3;1;Актуальні проблеми азійських спільнот;ст.вик. Василець О. І.;Прак;323-12;12:20:00;13:55:00;true;true
5;1;3;1;Основи електронного урядування;доц. Загвойська О. В.;Прак;333-12;12:20:00;13:55:00;true;true
6;1;3;1;Розумні міста;проф. Чукут С. А.;Лек;339-18 ;12:20:00;13:55:00;true;true
7;2;1;1;Мат. ан.-3;доц. Задерей Н. М.;Лек ;200-12;08:30:00;10:05:00;true;false
8;2;2;1;Теорія електронних кіл-1;доц. Витязь О. О.;Лек;321-12;10:25:00;12:00:00;true;false
9;2;3;1;Обч. мат.;доц. Татарчук Д. Д.;Лек;134-12 ;12:20:00;13:55:00;true;false
10;3;2;1;Мат. ан.-3;доц. Задерей Н. М.;Прак;333-12 ;10:25:00;12:00:00;false;false
11;3;3;1;Іноземна мова-2. Практичний курс іноземної мови-2;вик. Гордієнко Н. М.;Прак;433-12 ;12:20:00;13:55:00;false;false
12;3;4;1;Теорія електронних кіл-1;доц. Саурова Т. А.;Лаб;310-12 ;14:15:00;15:50:00;false;false
13;4;1;1;Екол. безп. інж. діял.;;Прак;321-12 ;08:30:00;10:05:00;false;false
14;4;2;1;Обч. мат.;доц. Татарчук Д. Д.;Лаб;129-12 ;10:25:00;12:00:00;true;false
15;4;4;1;Психологія;доц. Плющ О. М.;Лек;109-07 ;14:15:00;15:50:00;true;true
16;4;4;1;Психологія конфлікту;вик. Москаленко О. В.;Прак;114-12 ;14:15:00;15:50:00;true;true
17;4;4;1;Соціальна психологія;проф. Винославська О. В.;Лек;200-12 ;14:15:00;15:50:00;true;true
18;5;1;1;Екол. безп. інж. діял.;ст.вик. Овсянкіна В. О.;Лек;200-12 ;08:30:00;10:05:00;true;false
19;5;2;1;Статистичні методи обробки даних;проф. Королюк Д. В.;Лек ;138-12 ;10:25:00;12:00:00;true;false
20;5;3;1;Основи квантової теорії;ст.вик. Лупина Б. І.;Лек;138-12 ;12:20:00;13:55:00;true;false
21;1;1;2;Економічна психологія;доц. Кононець М. О.;Лек ;;08:30:00;10:05:00;true;true
22;1;2;2;Розумні міста;доц. Загвойська О. В.;Прак;323-12;10:25:00;12:00:00;true;true
23;1;3;2;Політична наука: конфліктологічний підхід;доц. Багінський А. В.;Прак;319-19;12:20:00;13:55:00;true;true
24;1;3;2;Актуальні проблеми азійських спільнот;проф. Кутуєв П. В.;Лек;301-18;12:20:00;13:55:00;true;true
25;1;3;2;Основи електронного урядування;проф. Чукут С. А.;Лек;200-12;12:20:00;13:55:00;true;true
26;1;4;2;Психологія наукової і технічної творчості;вик. Уманец А. О.;Прак;323-12;14:15:00;15:50:00;true;true
27;2;1;2;Мат. ан.-3;доц. Задерей Н. М.;Лек;200-12;08:30:00;10:05:00;true;false
28;2;2;2;Теорія електронних кіл-1;доц. Витязь О. О.;Лек;321-12;10:25:00;12:00:00;true;false
29;2;3;2;Обч. мат.;доц. Татарчук Д. Д.;Лек;134-12;12:20:00;13:55:00;true;false
30;3;1;2;Основи квантової теорії;ст.вик. Лупина Б. І.;Прак;07в-12;08:30:00;10:05:00;false;false
31;3;2;2;Мат. ан.-3;доц. Задерей Н. М.;Прак;333-12;10:25:00;12:00:00;false;false
32;3;3;2;Іноземна мова-2. Практичний курс іноземної мови-2;вик. Гордієнко Н. М.;Прак;433-12;12:20:00;13:55:00;false;false
33;3;4;2;Теорія електронних кіл-1;доц. Саурова Т. А.;Прак;409-12;14:15:00;15:50:00;false;false
34;4;1;2;Статистичні методи обробки даних;проф. Королюк Д. В.;Прак;134-12;08:30:00;10:05:00;true;false
35;4;2;2;Обч. мат.;доц. Татарчук Д. Д.;Лаб;129-12;10:25:00;12:00:00;true;false
36;4;4;2;Психологія;вик. Москаленко О. В.;Прак;114-12;14:15:00;15:50:00;true;true
37;4;4;2;Психологія конфлікту;вик. Оніпко З. С.;Лек;109-07;14:15:00;15:50:00;true;true
38;4;4;2;Соціальна психологія;доц. Кононець М. О.;Прак;317-12;14:15:00;15:50:00;true;true
39;5;1;2;Теорія електронних кіл-1;доц. Витязь О. О.;Лек;321-12;08:30:00;10:05:00;true;false
40;5;2;2;Статистичні методи обробки даних;проф. Королюк Д. В.;Лек;138-12;10:25:00;12:00:00;true;false
41;5;3;2;Основи квантової теорії;ст.вик. Лупина Б. І.;Лек;138-12;12:20:00;13:55:00;true;false
42;5;4;2;Основи квантової теорії;ст.вик. Лупина Б. І.;Лек;138-12;14:15:00;15:50:00;true;false
