lesson_id;day_number;lesson_number;lesson_week;lesson_name;teacher_name;lesson_type;lesson_class;time_start;time_end;online;choice
1;1;1;1;Інформаційні технології проектування у мікро- і наносистемах;Казміренко Віктор Анатолійович;Лек;-;8:30:00;10:05:00;true;true
2;1;2;1;Схемотехніка - 2. Цифрова схемотехніка;Казміренко Віктор Анатолійович;Лек;-;10:25:00;12:00:00;true;false
3;1;3;1;Схемотехніка - 2. Цифрова схемотехніка;Казміренко Віктор Анатолійович;Лек;-;12:20:00;13:55:00;true;false
4;1;4;1;Основи сенсорної електроніки;Коваль Вікторія Михайлівна;Лек;-;14:15:00;15:50:00;true;true
5;1;5;1;Сенсорні матеріали та технології;Коваль Вікторія Михайлівна;Лек;-;16:10:00;17:45:00;true;true
6;2;1;1;Економіка і організація виробництва;Шостак Інна Володимирівна;Прак;-;8:30:00;10:05:00;true;false
7;2;2;1;Мікроконтролери;Татарчук Дмитро Дмитрович;Лек;-;10:25:00;12:00:00;true;true
8;2;3;1;Функціональна електроніка;Обухова Тетяна Юріївна;Лек;-;12:20:00;13:55:00;true;true
9;2;4;1;Функціональні пристрої для обробки інформації;Обухова Тетяна Юріївна;Лек;-;14:15:00;15:50:00;true;true
10;2;5;1;Економіка і організація виробництва;Марченко Валентина Миколаївна;Лек;-;16:10:00;17:45:00;true;false
11;3;1;1;Основи сенсорної електроніки;Коваль Вікторія Михайлівна;Прак;-;8:30:00;10:05:00;true;true
12;3;2;1;Іноземна мова професійного спрямування-2;Ситайло Наталія Миколаївна;Прак;-;10:25:00;12:00:00;true;false
13;3;4;1;Функціональні пристрої для обробки інформації;Малюта С.;Лаб;-;14:15:00;15:50:00;false;true
14;3;5;1;Функціональна електроніка;Малюта С.;Лаб;-;16:10:00;17:45:00;false;true
15;4;1;1;Інформаційні технології проектування у мікро- і наносистемах;Казміренко Віктор Анатолійович, Голубєва Ірина Петрівна;Лаб;-;8:30:00;10:05:00;true;true
16;4;4;1;Охорона праці та цивільний захист;Полукаров Олексій Ігорович;Лек;-;14:15:00;15:50:00;true;false
17;4;5;1;Охорона праці та цивільний захист;Пятова Анжела Вячеславівна, Ільчук Оксана Степанівна;Прак, Лаб;-;16:10:00;17:45:00;true;false
18;5;1;1;Схемотехніка - 2. Цифрова схемотехніка;Порєва Ганна Сергіївна;Лаб;413-12;8:30:00;10:05:00;false;false
19;1;1;2;Інформаційні технології проектування у мікро- і наносистемах;Казміренко Віктор Анатолійович;Лек;-;8:30:00;10:05:00;true;true
20;1;2;2;Схемотехніка - 2. Цифрова схемотехніка;Казміренко Віктор Анатолійович;Лек;-;10:25:00;12:00:00;true;false
21;1;3;2;Основи сенсорної електроніки;Коваль Вікторія Михайлівна;Лек;-;12:20:00;13:55:00;true;true
22;1;4;2;Сенсорні матеріали та технології;Коваль Вікторія Михайлівна;Лек;-;14:15:00;15:50:00;true;true
23;2;1;2;Економіка і організація виробництва;Шостак Інна Володимирівна;Прак;-;8:30:00;10:05:00;true;false
24;2;2;2;Мікроконтролери;Татарчук Дмитро Дмитрович;Лек;-;10:25:00;12:00:00;true;true
25;2;3;2;Функціональна електроніка;Обухова Тетяна Юріївна;Лек;-;12:20:00;13:55:00;true;true
26;2;4;2;Функціональні пристрої для обробки інформації;Обухова Тетяна Юріївна;Лек;-;14:15:00;15:50:00;true;true
27;2;5;2;Економіка і організація виробництва;Марченко Валентина Миколаївна;Лек;-;16:10:00;17:45:00;true;false
28;3;1;2;Сенсорні матеріали та технології;Коваль Вікторія Михайлівна;Прак;-;8:30:00;10:05:00;true;true
29;3;2;2;Іноземна мова професійного спрямування-2;Ситайло Наталія Миколаївна;Прак;-;10:25:00;12:00:00;true;false
30;3;3;2;Мікроконтролери;Татарчук Дмитро Дмитрович;Прак;-;12:20:00;13:55:00;true;true
31;4;1;2;Схемотехніка - 2. Цифрова схемотехніка;Порєва Ганна Сергіївна;Прак;-;8:30:00;10:05:00;true;false
32;4;4;2;Охорона праці та цивільний захист;Полукаров Олексій Ігорович;Лек;-;14:15:00;15:50:00;true;false
33;4;5;2;Охорона праці та цивільний захист;Пятова Анжела Вячеславівна, Ільчук Оксана Степанівна;Прак, Лаб;-;16:10:00;17:45:00;true;false
34;5;1;2;Схемотехніка - 2. Цифрова схемотехніка;Порєва Ганна Сергіївна;Лаб;413-12;8:30:00;10:05:00;false;false
