lesson_id;day_number;lesson_number;lesson_week;lesson_name;teacher_name;lesson_type;lesson_class;time_start;time_end;online;choice
1;1;1;1;Хімія матеріалів електроніки;проф. Білоус Анатолій Григорович;Лек;129-12;08:30:00;10:05:00;true;false
2;1;2;1;Хімія матеріалів електроніки;проф. Білоус Анатолій Григорович;Лек;134-12;10:25:00;12:00:00;true;false
3;1;3;1;Стилі в образотворчому мистецтві;проф. Жукова Наталія Анатоліївна;Лек;341-19;12:20:00;13:55:00;true;true
4;1;4;1;Еристика;проф. Препотенська Марина Петрівна;Лек;339-18;14:15:00;15:50:00;true;true
11;3;1;1;Теорія електронних кіл-2;доц. Витязь Олег Олексійович;Лек;321-12;08:30:00;10:05:00;true;false
5;3;3;1;Теорія електронних кіл-2;доц. Саурова Тетяна Асадовна;Прак;310-12;12:20:00;13:55:00;false;false
6;3;4;1;Філософські основи наукового пізнання;проф. Девтеров Ілля Володимирович;Прак;114-12;14:15:00;15:50:00;false;false
7;4;1;1;Фізика конденсованого стану;доц. Євтушенко А. І.;Лек;138-12;08:30:00;10:05:00;true;false
8;4;2;1;Фізика конденсованого стану;доц. Євтушенко А. І.;Лек;138-12;10:25:00;12:00:00;true;false
9;4;3;1;Напівпровідникова електроніка;проф. Борисов Олександр Васильович;Лек;134-12;12:20:00;13:55:00;true;false
10;4;4;1;Теорія електронних кіл-2;доц. Витязь Олег Олексійович;Лек;321-12;14:15:00;15:50:00;true;false
12;5;1;1;Хімія матеріалів електроніки;ас. Малюта С. ..;Лаб;312-02;08:30:00;10:05:00;false;false
13;5;2;1;Іноземна мова-2. Практичний курс іноземної мови-2;вик. Гордієнко Наталія Миколаївна;Прак;200-12;10:25:00;12:00:00;false;false
14;5;3;1;Єдиноборства;-;Прак;-;12:20:00;13:55:00;false;true
15;5;3;1;Складно-координаційні види спорту;-;Прак;-;12:20:00;13:55:00;false;true
16;5;3;1;Циклічні види спорту;-;Прак;-;12:20:00;13:55:00;false;true
17;1;1;2;Хімія матеріалів електроніки;проф. Білоус Анатолій Григорович;Лек;129-12;08:30:00;10:05:00;true;false
18;1;2;2;Філософські основи наукового пізнання;проф. Девтеров Ілля Володимирович;Лек;424-12;10:25:00;12:00:00;true;false
19;1;3;2;Логіка;ст.вик. Піхорович Василь Дмитрович;Лек;306-18;12:20:00;13:55:00;true;true
20;1;4;2;Стилі в образотворчому мистецтві;проф. Жукова Наталія Анатоліївна;Прак;114-12;14:15:00;15:50:00;true;true
21;1;4;2;Еристика;доц. Колотило Мар'яна Олексіївна;Прак;1-205-01;14:15:00;15:50:00;true;true
22;1;4;2;Логіка;ст.вик. Піхорович Василь Дмитрович;Прак;230-18;14:15:00;15:50:00;true;true
23;2;2;2;Фізика конденсованого стану;доц. Євтушенко А. І.;Прак;134-12;10:25:00;12:00:00;false;false
24;2;3;2;Напівпровідникова електроніка;ас. Королевич Любомир Миколайович;Лаб;139-12;12:20:00;13:55:00;false;false
25;2;4;2;Теорія електронних кіл-2;доц. Саурова Тетяна Асадовна;Лаб;310-12;14:15:00;15:50:00;false;false
26;3;2;2;Фізика конденсованого стану;доц. Обухова Тетяна Юріївна;Лаб;134-12;10:25:00;12:00:00;false;false
27;3;3;2;Напівпровідникова електроніка;ас. Шевлякова Г. В.;Прак;129-12;12:20:00;13:55:00;false;false
28;4;1;2;Фізика конденсованого стану;доц. Євтушенко А. І.;Лек;138-12;08:30:00;10:05:00;true;false
29;4;2;2;Напівпровідникова електроніка;проф. Борисов Олександр Васильович;Лек;134-12;10:25:00;12:00:00;true;false
30;4;3;2;Напівпровідникова електроніка;проф. Борисов Олександр Васильович;Лек;134-12;12:20:00;13:55:00;true;false
31;4;4;2;Теорія електронних кіл-2;доц. Витязь Олег Олексійович;Лек;321-12;14:15:00;15:50:00;true;false
32;5;1;2;Хімія матеріалів електроніки;ас. Малюта С. ..;Лаб;312-02;08:30:00;10:05:00;false;false
33;5;2;2;Іноземна мова-2. Практичний курс іноземної мови-2;вик. Гордієнко Наталія Миколаївна;Прак;200-12;10:25:00;12:00:00;false;false
34;5;3;2;Єдиноборства;-;Прак;-;12:20:00;13:55:00;false;true
35;5;3;2;Складно-координаційні види спорту;-;Прак;-;12:20:00;13:55:00;false;true
36;5;3;2;Циклічні види спорту;-;Прак;-;12:20:00;13:55:00;false;true
